5913	1198	7
540	9774	14
94	3021	26
109	6120	39
9720	8450	12
109	4474	2
1445	4676	28
11606	226	1
102	1963	24
123	5533	27
1413	8568	21
95	14	15
207	3730	4
679	6122	9
107	6041	16
354	8310	9
361	8325	11
111	3479	4
555	5068	28
975	3372	15
1304	3725	0
649	5112	21
106	1022	10
6049	2002	6
103	4334	30
94	7853	12
64	7604	41
105	3687	1
248	8038	18
23271	2446	3
102	8557	3
1210	3272	8
138	1371	29
101	6445	20
105	2573	9
755	5205	32
1887	8988	6
1304	5729	27
1449	6835	11
103	9571	13
831	1043	0
712	5803	0
111	6445	35
107	6802	31
1506	3221	18
153	2322	3
150	9477	7
178	2461	1
103	63	37
4365	1446	9
101	6018	17
3627	5050	9
117	3081	11
450	7420	8
124	7446	19
4507	5425	54
1164	4509	22
528	4274	15
208	1943	5
5512	4143	37
123	1395	13
176	1241	0
109	113	8
16983	4405	52
102	7268	11
2910	740	43
153	2899	21
104	2089	13
680	7499	2
22195	7775	0
13	648	25
107	5472	41
696	6281	20
1962	1981	3
2684	7848	4
320	495	18
101	326	13
512	4893	2
151	2850	21
115	9263	27
162	576	34
412	2507	9
945	9785	4
18945	4272	27
4597	9767	30
253	6051	0
21996	2607	17
147	1327	29
122	7320	26
77	51	13
95	625	32
1009	2795	6
1566	9597	9
1799	3858	14
120	8826	22
159	1045	24
11900	454	4
104	2378	7
95	9030	20
135	466	38
16720	8701	5
5425	6316	4
2992	7931	36
9709	9130	17
151	7726	25
101	3815	12
103	2442	23
102	466	37
556	9225	17
101	5130	98
101	1059	21
2418	5990	19
115	5987	26
175	3832	6
102	2634	27
107	2262	7
94	5884	54
5456	6196	14
114	737	28
721	9967	20
258	4883	13
105	5287	2
279	3739	6
1316	3434	12
131	9507	19
101	6913	12
23839	2758	19
127	7349	9
184	6221	26
151	9744	42
94	8092	37
189	4118	7
1902	2489	43
139	6612	6
696	8510	33
123	5842	9
3806	313	16
102	1281	22
5638	4606	26
95	6153	12
95	9473	16
1993	8677	1
4554	7750	17
94	4365	25
2900	1010	1
153	33	39
2074	6000	11
494	4310	10
108	7736	7
108	6646	5
508	8308	12
192	5526	0
115	8652	21
2479	7487	2
214	4012	9
95	2593	14
114	2786	5
10082	961	2
1246	970	5
291	4286	36
167	7808	0
7675	351	0
594	3148	31
