94	5479	17
2451	496	7
11860	3390	21
2527	9123	8
129	1451	4
113	3948	5
2857	6796	0
102	1991	2
104	5188	6
101	9472	4
5760	9100	2
162	2189	4
102	4485	8
745	3752	53
110	2866	16
123	4053	9
479	408	29
1471	7709	7
5596	1545	8
115	7639	32
219	8133	8
222	4179	15
162	9800	6
198	6345	0
1335	8874	14
242	6968	4
18166	6909	3
13	1161	7
11168	5561	20
330	6897	3
389	3121	34
143	3052	2
1932	7629	78
864	1512	0
95	4704	11
3571	3532	3
106	8632	21
889	4732	7
110	8475	12
131	2926	0
139	6866	1
3515	7158	32
101	3788	4
7478	4850	7
574	4815	7
106	5584	26
102	5173	49
286	9163	19
2595	149	31
131	8805	0
101	6085	3
28212	7459	16
2292	7042	18
1812	4641	6
102	3617	7
109	3618	42
438	2416	8
95	7426	0
5	230	12
27962	8103	2
211	3815	17
102	2502	3
105	1466	35
452	1398	24
94	2795	12
1253	6557	3
9188	9157	3
102	8593	36
95	544	25
113	1287	12
102	7621	31
113	5259	4
423	7856	0
4322	9800	21
24896	5642	4
104	6625	13
107	991	16
10763	7088	10
162	7335	30
2098	9284	0
113	1984	12
121	5235	1
183	2556	49
21363	8105	25
105	4763	35
110	1257	32
102	4616	4
1587	8707	13
123	8505	13
106	5274	22
295	2008	0
118	4722	52
150	9045	11
104	3776	13
25098	5543	16
107	2168	3
108	3776	58
104	9121	5
129	5134	10
110	6045	5
132	4937	13
105	7308	9
95	4906	7
141	4291	15
1618	1081	19
272	5418	44
104	3200	15
111	8657	14
104	394	20
596	486	7
225	3287	18
95	9894	0
2785	6703	4
95	259	17
1273	3667	12
20047	5210	19
1969	9472	3
12974	6790	33
162	2368	10
105	9803	3
112	1530	9
163	3905	8
8587	6633	13
4413	5720	7
664	9129	15
3731	1178	23
4561	3790	15
95	4105	15
701	3354	54
105	5262	4
2194	8471	24
129	7106	5
2315	7438	28
17337	9133	0
101	2923	2
101	1924	5
9258	7533	30
104	2605	7
94	459	29
105	1702	6
4160	4199	32
1595	925	4
3904	3678	4
103	9511	5
104	5354	2
102	6666	9
102	1897	6
66	8851	0
3873	9078	26
169	5016	19
11448	5508	26
211	7374	7
119	1381	17
23863	8744	14
5103	5732	24
1564	9039	47
108	3604	15
14	370	18
20185	9823	14
3323	2902	4
7562	9385	6
130	7157	52
221	9481	4
102	9741	5
103	2544	38
111	626	13
94	7419	37
2	1092	0
723	7515	36
94	645	27
103	5739	4
117	1230	23
101	1943	81
165	1284	8
121	5627	19
101	8494	4
25512	6851	2
107	1723	28
1560	8862	46
19073	3924	0
101	9989	26
102	8807	13
26719	8613	1
102	4992	22
3246	1626	18
151	7189	9
146	1060	24
101	3720	12
741	1198	5
105	8330	17
103	6211	3
3206	5088	2
95	6405	6
108	2233	7
581	9744	2
5717	7415	12
370	2884	33
102	5320	2
192	5229	28
108	2034	10
118	6584	41
106	3804	3
359	9166	12
103	330	4
1354	9159	2
1820	5784	2
102	8516	5
1635	529	22
111	3610	8
3922	740	5
101	1448	29
554	1062	10
95	2413	6
3585	8235	28
595	7178	22
110	7254	12
108	3958	17
104	7170	3
103	8316	36
358	100	7
111	6681	20
101	5733	3
14	2505	36
94	3821	30
103	7629	3
108	7518	19
103	6659	1
143	6057	27
1009	3615	52
95	6058	3
121	7937	51
101	7903	33
20881	3677	12
21192	8669	7
94	1803	27
17441	143	6
110	9750	4
102	2696	5
104	1128	14
113	5039	10
253	1328	0
7583	8906	45
1187	9193	73
94	4845	27
842	5597	44
